,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG_x,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,G-xG,xG_y,Cmp,Cmp,Cmp,Cmp,xA,KP,1/3,PPA,PrgP,Def Pen,Att Pen,Succ%,CrdY,CrdR,Fls,Fld,Off,TklW,Recov,Int,Clr,Err,Team
0,2023-04-16,16:00,Série A,Matchweek 1,Sun,Away,L,1.0,2.0,Corinthians,0.5,1.5,60.0,41304.0,Rafael Cabral,4-2-3-1,Anderson Daronco,Match Report,,8,2,20.7,0.5,0.5,531.0,242.0,241.0,37.0,0.6,6.0,42.0,5.0,40.0,58.0,11.0,40.9,2,0,12,14,3,11,45.0,7,21.0,0.0,Cruzeiro
1,2023-04-22,21:00,Série A,Matchweek 2,Sat,Home,W,1.0,0.0,Grêmio,1.5,0.8,49.0,21605.0,Rafael Cabral,4-2-3-1,Flavio Rodrigues de Souza,Match Report,,21,6,17.1,-0.5,1.5,423.0,183.0,183.0,53.0,1.2,16.0,56.0,10.0,49.0,50.0,27.0,42.9,6,1,21,8,1,7,66.0,17,21.0,0.0,Cruzeiro
2,2023-04-29,18:30,Série A,Matchweek 3,Sat,Away,W,3.0,0.0,Bragantino,2.0,1.1,54.0,,Rafael Cabral,4-2-3-1,Braulio da Silva Machado,Match Report,,18,5,19.0,1.0,2.0,408.0,154.0,180.0,66.0,1.2,14.0,32.0,6.0,34.0,73.0,21.0,52.9,3,0,8,17,4,15,57.0,10,17.0,0.0,Cruzeiro
0,2023-04-16,18:30,Série A,Matchweek 1,Sun,Home,W,1.0,0.0,Santos,1.6,1.2,45.0,,Walter Kannemann,4-2-3-1,Wilton Sampaio,Match Report,,16,6,23.3,-0.6,1.6,327.0,169.0,120.0,19.0,0.5,10.0,33.0,4.0,47.0,60.0,15.0,37.1,3,0,12,15,1,20,66.0,11,19.0,0.0,Gremio
1,2023-04-22,21:00,Série A,Matchweek 2,Sat,Away,L,0.0,1.0,Cruzeiro,0.8,1.5,51.0,21605.0,Walter Kannemann,4-2-3-1,Flavio Rodrigues de Souza,Match Report,,11,7,21.1,-0.8,0.8,423.0,248.0,147.0,19.0,0.5,7.0,28.0,7.0,44.0,60.0,13.0,46.2,2,0,8,19,3,11,59.0,11,18.0,0.0,Gremio
2,2023-04-30,17:30,Série A,Matchweek 3,Sun,Away,W,2.0,1.0,Cuiabá,1.6,1.2,49.0,,Walter Kannemann,4-2-3-1,Bruno Arleu de Araujo,Match Report,,12,6,16.1,0.4,1.6,366.0,196.0,128.0,30.0,1.0,10.0,33.0,7.0,47.0,62.0,18.0,59.1,5,0,11,14,2,6,53.0,9,33.0,0.0,Gremio
1,2023-04-15,18:30,Série A,Matchweek 1,Sat,Away,L,1.0,2.0,Botafogo (RJ),1.8,0.9,67.0,,Jonathan Calleri,4-1-4-1,Ramon Abatti Abel,Match Report,,16,8,16.4,-0.8,1.8,592.0,216.0,299.0,70.0,1.3,14.0,41.0,8.0,47.0,59.0,18.0,65.2,2,0,13,20,1,11,65.0,6,13.0,0.0,Sao Paulo
3,2023-04-22,18:30,Série A,Matchweek 2,Sat,Home,W,3.0,0.0,América (MG),2.3,1.2,53.0,41006.0,Robert Arboleda,4-1-3-2,Wagner do Nascimento Magalhães,Match Report,,17,6,17.9,0.7,2.3,390.0,171.0,157.0,38.0,1.3,16.0,34.0,7.0,36.0,74.0,16.0,61.5,5,0,18,12,1,11,46.0,7,28.0,0.0,Sao Paulo
4,2023-04-29,16:30,Série A,Matchweek 3,Sat,Away,D,1.0,1.0,Coritiba,1.0,1.9,67.0,,Luciano,4-2-3-1,Rafael Rodrigo Klein,Match Report,,22,6,23.2,0.0,1.0,570.0,230.0,282.0,57.0,1.0,19.0,63.0,7.0,53.0,70.0,17.0,57.1,1,0,12,13,2,9,44.0,12,20.0,0.0,Sao Paulo
0,2023-04-15,21:00,Série A,Matchweek 1,Sat,Away,W,2.0,1.0,Atlético Mineiro,1.5,1.5,26.0,,Léo Pelé,4-3-3,Raphael Claus,Match Report,,7,3,14.6,0.5,1.5,135.0,52.0,65.0,16.0,0.7,6.0,7.0,6.0,13.0,42.0,12.0,36.8,5,1,10,15,2,13,50.0,12,33.0,0.0,Vasco da Gama
